INSERT INTO Investimento (investimento_id, conta_id, tipo_investimento, valor_aplicado, data_aplicacao, rendimento, data_resgate, status) VALUES
(1, 1, 'CDB', 5000.00, '2025-01-20', 6.5, '2026-01-20', 'ativo'),
(2, 2, 'Tesouro Direto', 3000.00, '2025-02-15', 5.8, '2026-02-15', 'ativo'),
(3, 3, 'LCI', 4500.00, '2025-03-10', 7.2, '2026-03-10', 'ativo'),
(4, 4, 'LCA', 4000.00, '2025-04-05', 6.0, '2026-04-05', 'ativo'),
(5, 5, 'Fundo Imobiliário', 6000.00, '2025-05-01', 8.1, '2026-05-01', 'ativo'),
(6, 6, 'CDB', 5200.00, '2025-06-01', 6.4, '2026-06-01', 'ativo'),
(7, 7, 'Tesouro Direto', 3100.00, '2025-07-01', 5.9, '2026-07-01', 'ativo'),
(8, 8, 'LCI', 4700.00, '2025-08-01', 7.0, '2026-08-01', 'ativo'),
(9, 9, 'LCA', 4300.00, '2025-09-01', 6.2, '2026-09-01', 'ativo'),
(10, 10, 'Fundo Imobiliário', 6100.00, '2025-10-01', 8.0, '2026-10-01', 'ativo'),
(11, 11, 'CDB', 5100.00, '2025-01-10', 6.3, '2026-01-10', 'ativo'),
(12, 12, 'Tesouro Direto', 3200.00, '2025-02-12', 5.7, '2026-02-12', 'ativo'),
(13, 13, 'LCI', 4600.00, '2025-03-14', 7.1, '2026-03-14', 'ativo'),
(14, 14, 'LCA', 4100.00, '2025-04-16', 6.1, '2026-04-16', 'ativo'),
(15, 15, 'Fundo Imobiliário', 6200.00, '2025-05-18', 8.2, '2026-05-18', 'ativo'),
(16, 16, 'CDB', 5300.00, '2025-06-20', 6.6, '2026-06-20', 'ativo'),
(17, 17, 'Tesouro Direto', 3300.00, '2025-07-22', 5.6, '2026-07-22', 'ativo'),
(18, 18, 'LCI', 4800.00, '2025-08-24', 7.3, '2026-08-24', 'ativo'),
(19, 19, 'LCA', 4400.00, '2025-09-26', 6.3, '2026-09-26', 'ativo'),
(20, 20, 'Fundo Imobiliário', 6300.00, '2025-10-28', 8.3, '2026-10-28', 'ativo'),
(21, 21, 'CDB', 5400.00, '2025-01-30', 6.7, '2026-01-30', 'ativo'),
(22, 22, 'Tesouro Direto', 3400.00, '2025-02-05', 5.5, '2026-02-05', 'ativo'),
(23, 23, 'LCI', 4900.00, '2025-03-10', 7.4, '2026-03-10', 'ativo'),
(24, 24, 'LCA', 4500.00, '2025-04-15', 6.4, '2026-04-15', 'ativo'),
(25, 25, 'Fundo Imobiliário', 6400.00, '2025-05-20', 8.4, '2026-05-20', 'ativo'),
(26, 26, 'CDB', 5500.00, '2025-06-25', 6.8, '2026-06-25', 'ativo'),
(27, 27, 'Tesouro Direto', 3500.00, '2025-07-30', 5.4, '2026-07-30', 'ativo'),
(28, 28, 'LCI', 5000.00, '2025-08-04', 7.5, '2026-08-04', 'ativo'),
(29, 29, 'LCA', 4600.00, '2025-09-09', 6.5, '2026-09-09', 'ativo'),
(30, 30, 'Fundo Imobiliário', 6500.00, '2025-10-14', 8.5, '2026-10-14', 'ativo'),
(31, 31, 'CDB', 5600.00, '2025-01-19', 6.9, '2026-01-19', 'ativo'),
(32, 32, 'Tesouro Direto', 3600.00, '2025-02-24', 5.3, '2026-02-24', 'ativo'),
(33, 33, 'LCI', 5100.00, '2025-03-01', 7.6, '2026-03-01', 'ativo'),
(34, 34, 'LCA', 4700.00, '2025-04-06', 6.6, '2026-04-06', 'ativo'),
(35, 35, 'Fundo Imobiliário', 6600.00, '2025-05-11', 8.6, '2026-05-11', 'ativo'),
(36, 36, 'CDB', 5700.00, '2025-06-16', 7.0, '2026-06-16', 'ativo'),
(37, 37, 'Tesouro Direto', 3700.00, '2025-07-21', 5.2, '2026-07-21', 'ativo'),
(38, 38, 'LCI', 5200.00, '2025-08-26', 7.7, '2026-08-26', 'ativo'),
(39, 39, 'LCA', 4800.00, '2025-09-30', 6.7, '2026-09-30', 'ativo'),
(40, 40, 'Fundo Imobiliário', 6700.00, '2025-10-05', 8.7, '2026-10-05', 'ativo'),
(41, 41, 'CDB', 5800.00, '2025-01-10', 7.1, '2026-01-10', 'ativo'),
(42, 42, 'Tesouro Direto', 3800.00, '2025-02-15', 5.1, '2026-02-15', 'ativo'),
(43, 43, 'LCI', 5300.00, '2025-03-20', 7.8, '2026-03-20', 'ativo'),
(44, 44, 'LCA', 4900.00, '2025-04-25', 6.8, '2026-04-25', 'ativo'),
(45, 45, 'Fundo Imobiliário', 6800.00, '2025-05-30', 8.8, '2026-05-30', 'ativo'),
(46, 46, 'CDB', 5900.00, '2025-06-04', 7.2, '2026-06-04', 'ativo'),
(47, 47, 'Tesouro Direto', 3900.00, '2025-07-09', 5.0, '2026-07-09', 'ativo'),
(48, 48, 'LCI', 5400.00, '2025-08-14', 7.9, '2026-08-14', 'ativo'),
(49, 49, 'LCA', 5000.00, '2025-09-19', 6.9, '2026-09-19', 'ativo'),
(50, 50, 'Fundo Imobiliário', 6900.00, '2025-10-24', 8.9, '2026-10-24', 'ativo');
